17,Josh Allen,29,QB,,,237,6-5,ReedleyWyoming,5/21/1996,7,,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02
70,Alec Anderson,26,OL,,,305,6-5,UCLA,10/3/1999,1,,,AndeAl01
44,Joe Andreessen,25,LB,,,232,6-1,BryantBuffalo,2/7/2000,1,,,AndrJo02
2,Tyler Bass,28,K,,,183,5-10,Georgia Southern,2/14/1997,5,,Buffalo Bills / 6th / 188th pick / 2020,BassTy00
61,Jacob Bayer,23,C,,,310,6-3,Arkansas State,12/12/2002,Rook,,,-9999
47,Christian Benford,25,DB,,,205,6-1,Villanova,9/21/2000,3,,Buffalo Bills / 6th / 185th pick / 2022,BenfCh00
8,Terrel Bernard,26,LB,,,224,6-1,Baylor,5/7/1999,3,,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00
24,Cole Bishop,23,S,,,207,6-2,Utah,10/24/2002,1,,Buffalo Bills / 2nd / 60th pick / 2024,BishCo00
97,Joey Bosa,30,DE,,,280,6-5,Ohio St.,7/11/1995,9,,San Diego Chargers / 1st / 3rd pick / 2016,BosaJo00
79,Spencer Brown,27,T,,,311,6-6,Northern Iowa,2/28/1998,4,,Buffalo Bills / 3rd / 93rd pick / 2021,BrowSp00
6,Shane Buechele,27,QB,,,210,6-0,TexasSMU,1/8/1998,Rook,,,BuecSh00
32,Deon Cain,29,WR,,,202,6-2,Clemson,8/9/1996,6,,Indianapolis Colts / 6th / 185th pick / 2018,CainDe00
90,DeWayne Carter,25,DT,,,305,6-3,Duke,12/10/2000,1,,Buffalo Bills / 3rd / 95th pick / 2024,CartDe03
35,Jimmy Ciarlo,24,LB,,,225,6-2,Army,2/28/2001,Rook,,,CiarJi00
67,Travis Clayton,24,OT,,,301,6-7,None,2/17/2001,Rook,,Buffalo Bills / 7th / 221st pick / 2024,ClayTr00
29,Brandon Codrington,25,CB,,,185,5-9,North Carolina Central,11/17/2000,1,,,CodrBr00
,Keon Coleman,22,WR,,,215,6-4,Michigan St.Florida St.,5/17/2003,1,,Buffalo Bills / 2nd / 33rd pick / 2024,ColeKe02
4,James Cook,26,RB,,,190,5-11,Georgia,9/25/1999,3,,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01
33,Te'Cory Couch,26,CB,,,175,5-10,Miami (FL),9/6/1999,Rook,,,CoucTe00
84,Zach Davidson,27,TE,,,251,6-7,Central Missouri St.,7/15/1998,1,,Minnesota Vikings / 5th / 168th pick / 2021,DaviZa00
36,Caden Davis,,K,,,210,,Mississippi,,Rook,,,DaviCa04
22,Ray Davis,26,RB,,,220,5-8,TempleVanderbiltKentucky,11/11/1999,1,,Buffalo Bills / 4th / 128th pick / 2024,DaviRa04
73,Dion Dawkins,31,OG,,,320,6-5,Temple,4/26/1994,8,,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00
