22,Tony Adams,26,S,,,203,5-11,Illinois,1/24/1999,3,,,AdamTo03
,Braelon Allen,21,RB,,,235,6-1,Wisconsin,1/20/2004,1,,New York Jets / 4th / 134th pick / 2024,AlleBr05
53,Zaire Barnes,26,LB,,,227,6-1,Western Michigan,9/3/1999,2,,New York Jets / 6th / 184th pick / 2023,BarnZa00
94,Tyler Baron,24,DE,,,260,,TennesseeMiami (FL),10/22/2001,Rook,,New York Jets / 5th / 176th pick / 2025,BaroTy00
47,Andrew Beck,29,TE,,,255,6-3,Texas,5/15/1996,6,,,BeckAn01
29,Jarrick Bernard-Converse,25,CB,,,205,6-1,Oklahoma St.LSU,4/29/2000,2,,New York Jets / 6th / 204th pick / 2023,BernJa01
17,Kris Boyd,29,CB,,,201,5-11,Texas,9/12/1996,6,,Minnesota Vikings / 7th / 217th pick / 2019,BoydKr00
30,Michael Carter II,26,S,,,184,5-10,Duke,3/8/1999,4,,New York Jets / 5th / 154th pick / 2021,CartMi02
8,Andre Cisco,25,DB,,,210,6-0,Syracuse,3/23/2000,4,,Jacksonville Jaguars / 3rd / 65th pick / 2021,CiscAn00
35,Dean Clark,,S,,,206,6-1,Fresno State,,Rook,,,-9999
33,Jordan Clark,24,CB,,,184,5-9,Notre Dame,4/22/2001,Rook,,,-9999
72,Micheal Clemons,28,DT,,,263,6-5,Cisco (TX)Texas A&M,8/21/1997,3,,New York Jets / 4th / 117th pick / 2022,ClemMi03
4,Brady Cook,,QB,,,215,,Missouri,,Rook,,,CookBr03
46,Bump Cooper,24,CB,,,192,5-11,San MateoOregon St.,8/31/2001,1,,,CoopBu00
6,Malachi Corley,23,WR,,,215,5-11,Western Kentucky,3/21/2002,1,,New York Jets / 3rd / 65th pick / 2024,CorlMa00
93,Byron Cowart,29,DL,,,300,6-3,Maryland,5/20/1996,6,,New England Patriots / 5th / 159th pick / 2019,CowaBy00
32,Isaiah Davis,23,RB,,,220,6-1,South Dakota St.,2/21/2002,1,,New York Jets / 5th / 173rd pick / 2024,DaviIs00
52,Jamin Davis,27,LB,,,234,6-3,Kentucky,12/12/1998,4,,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
40,Donovan Edwards,22,RB,,,212,,Michigan,2/25/2003,Rook,,,EdwaDo01
74,Olumuyiwa Fashanu,23,OL,,,312,6-6,Penn St.,12/9/2002,1,,New York Jets / 1st / 11th pick / 2024,FashOl00
7,Justin Fields,26,QB,,,227,6-3,GeorgiaOhio St.,3/5/1999,4,,Chicago Bears / 1st / 11th pick / 2021,FielJu00
97,Michael Fletcher,,DE,,,275,6-6,Appalachian State,,Rook,,,-9999
18,Nick Folk,41,K,,,225,6-1,Arizona,11/5/1984,18,,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
50,Liam Fornadel,26,G,,,312,6-4,James Madison,6/17/1999,Rook,,,FornLi00
1,Sauce Gardner,25,CB,,,190,6-3,Cincinnati,8/31/2000,3,,New York Jets / 1st / 4th pick / 2022,GardSa00
3,Xavier Gipson,24,WR,,,189,5-9,S.F. Austin,3/8/2001,2,,,GipsXa00
43,Mario Goodrich,25,CB,,,186,6-0,Clemson,1/12/2000,2,,,GoodMa02
20,Breece Hall,24,RB,,,217,5-11,Iowa St.,5/31/2001,3,,New York Jets / 2nd / 36th pick / 2022,HallBr03
77,Marquis Hayes,26,OL,,,318,6-5,Oklahoma,2/14/1999,Rook,,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00
42,Thomas Hennessy,31,LS,,,246,6-2,Duke,6/11/1994,8,,,HennTh00
68,Samuel Jackson,27,OL,,,325,6-5,UCF,12/29/1998,Rook,,,-9999
11,Jermaine Johnson II,26,LB,,,254,6-5,Independence (KS)GeorgiaFlorida St.,1/7/1999,3,,New York Jets / 1st / 26th pick / 2022,JohnJe07
86,Neal Johnson,24,TE,,,250,6-4,Louisiana,8/3/2001,Rook,,,JohnNe00
16,Tyler Johnson,27,WR,,,208,6-1,Minnesota,8/25/1998,5,,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
57,Kingsley Jonathan,27,DE,,,260,6-4,Syracuse,4/28/1998,3,,,JonaKi00
